iter	Passed	Remaining
0	166	166689
1	170	84915
2	174	58016
3	177	44240
4	180	35934
5	183	30482
6	188	26671
7	192	23867
8	195	21527
9	200	19842
10	206	18566
11	209	17249
12	212	16146
13	215	15177
14	218	14322
15	222	13677
16	225	13019
17	227	12430
18	230	11906
19	233	11430
20	237	11064
21	240	10681
22	243	10336
23	246	10007
24	248	9706
25	251	9423
26	255	9195
27	257	8954
28	260	8730
29	263	8520
30	266	8322
31	269	8163
32	273	8009
33	276	7854
34	279	7704
35	282	7565
36	286	7458
37	289	7331
38	292	7209
39	295	7094
40	298	6980
41	301	6878
42	305	6794
43	308	6699
44	311	6604
45	314	6515
46	317	6434
47	321	6379
48	324	6301
49	327	6223
50	330	6150
51	334	6091
52	337	6034
53	340	5971
54	344	5913
55	346	5849
56	351	5811
57	354	5755
58	357	5702
59	360	5648
60	363	5596
61	367	5565
62	371	5520
63	374	5481
64	378	5439
65	382	5407
66	386	5376
67	389	5338
68	392	5299
69	396	5271
70	402	5269
71	406	5233
72	409	5202
73	412	5164
74	417	5152
75	421	5126
76	425	5098
77	429	5075
78	434	5061
79	437	5036
80	441	5011
81	445	4985
82	449	4970
83	453	4943
84	456	4916
85	460	4893
86	465	4880
87	468	4859
88	472	4836
89	475	4812
90	479	4793
91	483	4774
92	487	4755
93	491	4734
94	494	4713
95	499	4700
96	502	4678
97	505	4657
98	509	4633
99	513	4618
100	516	4601
101	520	4581
102	523	4562
103	527	4542
104	531	4533
105	535	4518
106	539	4503
107	543	4488
108	547	4478
109	551	4463
110	555	4447
111	558	4430
112	563	4421
113	566	4398
114	569	4385
115	573	4371
116	577	4356
117	581	4344
118	584	4329
119	588	4313
120	591	4297
121	596	4290
122	599	4275
123	603	4261
124	606	4246
125	611	4239
126	615	4228
127	618	4214
128	622	4203
129	627	4197
130	630	4185
131	634	4172
132	638	4159
133	641	4147
134	645	4139
135	649	4127
136	653	4113
137	656	4103
138	661	4096
139	665	4085
140	668	4073
141	672	4062
142	676	4055
143	680	4043
144	683	4031
145	687	4022
146	693	4024
147	697	4014
148	700	4002
149	704	3991
150	708	3985
151	712	3976
152	716	3965
153	719	3954
154	723	3946
155	727	3938
156	731	3927
157	735	3917
158	738	3906
159	742	3900
160	746	3890
161	749	3879
162	753	3869
163	758	3867
164	762	3857
165	766	3849
166	769	3838
167	774	3833
168	777	3824
169	781	3815
170	785	3806
171	789	3802
172	794	3796
173	797	3787
174	801	3779
175	805	3773
176	810	3766
177	813	3757
178	817	3749
179	822	3745
180	826	3738
181	829	3728
182	833	3719
183	837	3712
184	841	3705
185	844	3697
186	848	3687
187	851	3679
188	855	3672
189	859	3664
190	863	3655
191	866	3646
192	870	3639
193	874	3631
194	877	3622
195	880	3613
196	884	3605
197	888	3600
198	892	3592
199	896	3584
200	899	3577
201	904	3572
202	907	3564
203	911	3556
204	918	3560
205	927	3575
206	936	3587
207	944	3596
208	953	3607
209	961	3618
210	970	3630
211	979	3640
212	988	3652
213	996	3661
214	1007	3679
215	1123	4077
216	1135	4098
217	1145	4109
218	1153	4114
219	1161	4116
220	1168	4118
221	1175	4119
222	1182	4118
223	1212	4199
224	1284	4425
225	1294	4434
226	1305	4445
227	1313	4448
228	1321	4449
229	1330	4452
230	1337	4452
231	1345	4452
232	1351	4447
233	1358	4448
234	1393	4535
235	1443	4671
236	1464	4714
237	1474	4719
238	1484	4725
239	1492	4725
240	1500	4724
241	1506	4718
242	1513	4715
243	1521	4714
244	1529	4714
245	1537	4711
246	1566	4774
247	1613	4891
248	1628	4910
249	1637	4913
250	1649	4921
251	1659	4924
252	1667	4923
253	1677	4925
254	1684	4922
255	1693	4922
256	1702	4920
257	1709	4916
258	1727	4943
259	1749	4980
260	1759	4980
261	1767	4977
262	1774	4973
263	1782	4970
264	1790	4965
265	1798	4961
266	1811	4972
267	1829	4998
268	1863	5064
269	1892	5115
270	1904	5123
271	1914	5124
272	1928	5135
273	1936	5132
274	1944	5126
275	1953	5124
276	1960	5117
277	1968	5112
278	1976	5107
279	1983	5101
280	1995	5105
281	2039	5191
282	2059	5216
283	2074	5231
284	2085	5232
285	2093	5226
286	2105	5230
287	2112	5223
288	2120	5217
289	2127	5207
290	2140	5214
291	2169	5260
292	2190	5286
293	2221	5333
294	2233	5338
295	2247	5345
296	2256	5341
297	2265	5335
298	2272	5328
299	2280	5321
300	2288	5313
301	2295	5306
302	2302	5297
303	2316	5303
304	2351	5359
305	2384	5408
306	2434	5495
307	2452	5509
308	2460	5502
309	2467	5492
310	2475	5484
311	2483	5476
312	2491	5468
313	2499	5459
314	2507	5452
315	2513	5441
316	2534	5461
317	2569	5511
318	2604	5559
319	2618	5563
320	2627	5557
321	2635	5549
322	2644	5542
323	2652	5533
324	2660	5525
325	2686	5553
326	2714	5586
327	2727	5588
328	2738	5586
329	2747	5577
330	2754	5568
331	2762	5557
332	2781	5570
